,title,gross_worldwide,movie_id,year,plot
58,Harry Potter and the Half-Blood Prince,"$934,391,404",0417741,2009,"As Harry Potter (Daniel Radcliffe) begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's (Ralph Fiennes') dark past.::Tomius J. Barnard"
59,Shrek 2,"$928,760,770",0298148,2004,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
60,Bohemian Rhapsody,"$903,694,634",1727824,2018,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).::Anonymous"
61,Harry Potter and the Goblet of Fire,"$896,374,191",0330373,2005,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.::Dynasti Noble"
62,Spider-Man 3,"$894,983,373",0413300,2007,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.::Jason_Rance"
63,The Lord of the Rings: The Fellowship of the Ring,"$887,933,911",0120737,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.::Paul Twomey <toomsp@hotmail.com> and Brian McInnis
64,Ice Age: Dawn of the Dinosaurs,"$886,686,817",1080016,2009,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.::Kenneth Chisholm"
65,Spectre,"$880,674,609",2379713,2015,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.::vsuperkuns"
66,Harry Potter and the Chamber of Secrets,"$880,295,582",0295297,2002,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.::Dynasti Noble
67,Spider-Man: Homecoming,"$880,166,924",2250912,2017,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
68,Ice Age: Continental Drift,"$877,244,782",1667889,2012,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.::IMDb Editors"
69,The Secret Life of Pets,"$875,457,937",2709768,2016,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
70,Batman v Superman: Dawn of Justice,"$873,637,528",2975590,2016,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.::TheArrowMan"
71,Wolf Warrior 2,"$870,325,439",7131870,2017,"China's deadliest special forces operative settles into a quiet life on the sea. When sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.::Official site"
72,Star Wars: Episode III - Revenge of the Sith,"$868,390,560",0121766,2005,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.::Travis Brainerd"
73,The Hunger Games: Catching Fire,"$865,011,746",1951264,2013,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.::rball4042
74,Guardians of the Galaxy Vol. 2,"$863,756,051",3896198,2017,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.::ahmetkozan"
75,Inside Out,"$857,951,174",2096673,2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.::Anonymous"
76,Venom,"$856,085,151",1270797,2018,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
77,Thor: Ragnarok,"$853,977,552",3501632,2017,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.::MadMovieManiac"
78,Transformers: Revenge of the Fallen,"$836,303,693",1055369,2009,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.::Anonymous"
79,Inception,"$829,925,498",1375666,2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.::ahmetkozan
80,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820",1673434,2012,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.::IMDb Editors"
81,Spider-Man,"$825,025,036",0145487,2002,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.::Kenneth Chisholm"
82,Wonder Woman,"$821,847,012",0451279,2017,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.::Tiffany Adachi"
83,Independence Day,"$817,400,891",0116629,1996,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.::Rob Hartill"
84,Fantastic Beasts and Where to Find Them,"$814,038,508",3183660,2016,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
85,Shrek the Third,"$813,367,380",0413267,2007,"When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming.::Anonymous"
86,Coco,"$807,082,196",2380307,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.::Disney/Pixar"
87,Mission: Impossible - Fallout,"$801,135,806",4912910,2018,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.::Paramount Pictures"
88,Harry Potter and the Prisoner of Azkaban,"$796,818,217",0304141,2004,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
89,Jumanji: The Next Level,"$796,575,993",7975244,2019,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.::Sony Pictures Entertainment"
90,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,878,815",1790809,2017,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
91,E.T. the Extra-Terrestrial,"$793,482,178",0083866,1982,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.::rball4042
92,2012,"$791,217,826",1190080,2009,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.::rball4042
93,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942",0367882,2008,"In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.::tb4000"
94,Spider-Man 2,"$788,976,453",0316654,2004,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.::Skip4591
95,Fast & Furious 6,"$788,679,850",1905041,2013,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
96,Deadpool 2,"$785,794,179",5463162,2018,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.::Don Draper 101"
97,Deadpool,"$782,612,155",1431045,2016,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.::Bill Smith"
98,Star Wars: Episode IV - A New Hope,"$775,521,394",0076759,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.::Trance"
99,Guardians of the Galaxy,"$772,787,572",2015381,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.::Anonymous
100,The Da Vinci Code,"$760,006,945",0382625,2006,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.::W.P.Lloyd"
101,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935",6806448,2019,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
102,Maleficent,"$758,410,378",1587310,2014,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.::Anonymous"
103,The Amazing Spider-Man,"$757,930,663",0316654,2004,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.::Skip4591
104,The Hunger Games: Mockingjay - Part 1,"$755,356,711",1951265,2014,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.::paulrichard"
105,Shrek Forever After,"$752,600,867",0892791,2010,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.::Kenneth Chisholm
106,Madagascar 3: Europe's Most Wanted,"$746,921,274",1277953,2012,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer.::DreamWorks Animation"
107,Suicide Squad,"$746,846,894",1386697,2016,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.::David Rush
108,X-Men: Days of Future Past,"$746,045,700",1877832,2014,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.::Anonymous
109,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115",0363771,2005,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.::Kenneth Chisholm
110,Monsters University,"$743,559,607",1453405,2013,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.::Disney/Pixar"
111,The Matrix Reloaded,"$741,847,697",0234215,2003,"Neo and his allies race against time before the machines discover the city of Zion and destroy it. While seeking the truth about the Matrix, Neo must save Trinity from a dark fate within his dreams.::vsuperkuns"
112,Up,"$735,099,082",1049413,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.::Anonymous Man"
113,Ne Zha,"$726,063,471",10627720,2019,"Born with unique powers, a boy is recruited to fight demons and save the community that fears him."
114,The Twilight Saga: New Moon,"$724,256,885",1259571,2009,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.::Moviedude346"
115,Gravity,"$723,192,705",1454468,2013,Two astronauts work together to survive after an accident leaves them stranded in space.::ahmetkozan
116,Captain America: The Winter Soldier,"$714,421,503",1843866,2014,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
117,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856",1324999,2011,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.::IMDb Editors"
118,Dawn of the Planet of the Apes,"$710,644,566",2103281,2014,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.::Anonymous
119,Transformers,"$709,709,780",0418279,2007,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.::Sivaji IMDBoss"
120,The Amazing Spider-Man 2,"$708,982,323",1872181,2014,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.::IMDBreviewer123"
121,It,"$701,796,444",1396484,2017,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.::ahmetkozan"
122,The Wandering Earth,"$699,856,699",7605074,2019,"As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.::Shuxu Bai with many corrections by Brx"
123,Interstellar,"$699,618,129",0816692,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.::Anonymous
124,The Twilight Saga: Eclipse,"$698,491,347",1325004,2010,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.::IMDb Editor"
125,Mission: Impossible - Ghost Protocol,"$694,713,380",1229238,2011,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.::Anonymous"
126,The Hunger Games,"$694,394,724",1392170,2012,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.::rball4042
127,Moana,"$690,860,472",3521164,2016,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.::Kenneth Chisholm"
128,Forrest Gump,"$683,095,371",0109830,1994,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.::ahmetkozan"
129,Mission: Impossible - Rogue Nation,"$682,716,636",2381249,2015,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.::Paramount Pictures
130,Doctor Strange,"$677,718,395",1211837,2016,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.::Noah Orent"
131,The Sixth Sense,"$672,806,292",0167404,1999,A boy who communicates with spirits seeks the help of a disheartened child psychologist.::Mystic80
132,Man of Steel,"$668,045,518",0770828,2013,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.::vsuperkuns"
133,Ice Age: The Meltdown,"$667,094,506",0438097,2006,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.::jgp3553@yahoo.com"
134,Kung Fu Panda 2,"$665,692,281",1302011,2011,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.::Kenneth Chisholm"
135,The Hunger Games: Mockingjay - Part 2,"$658,344,137",1951266,2015,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.::Fizz_Y123
136,Justice League,"$657,924,295",0974015,2017,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.::Anonymous"
137,Big Hero 6,"$657,857,416",2245084,2014,"The special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada. They team up with a group of friends to form a band of high-tech heroes.::Walt Disney Animation Studios"
138,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",4123430,2018,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander."
139,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015",0325980,2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.::Skip4591"
140,Star Wars: Episode II - Attack of the Clones,"$653,779,970",0121765,2002,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi."
